Antelope Vly,43.6772342,-113.6056819
Anza Vly,33.5750273,-116.7008525
Atascadero,35.4894169,-120.6707255
Banning,33.9255713,-116.8764103
Big Bear Lake,34.2438963,-116.9114215
C San Bernardino M,34.1083449,-117.2897652
C San Bernardino-1,34.0868939,-117.3127124
C San Bernardino-2,-25.401072,-57.28605
Capistrano Vly,36.0077494,-115.264587
Carrizo Plains,35.1395344,-119.742604
Central Coastal,46.9965144,-120.5478474
Central LA CO,42.365486,-71.103802
Central Orange-1,38.1337356,-78.1814442
Central Orange-2,42.5726057,-72.1557248
Chico,39.7284944,-121.8374777
Coachella Vly,33.7666873,-116.3591772
Davis,38.5449065,-121.7405167
E San Bernardino,34.1083449,-117.2897652
E San Fernando Vly,34.1734759,-118.4208128
E San Gabriel V-1,34.0776221,-118.1347809
E San Gabriel V-2,34.0776905,-118.1348399
East Riverside CO,33.6757371,-117.3150395
Fairfield,38.2493581,-122.0399663
Forest Ranch,39.873843,-121.6810778
Gridley,39.3637773,-121.6935833
Hemet/San Jacinto,33.7511348,-116.9693321
Hesperia,34.4263886,-117.3008784
Lake Elsinore,33.6680772,-117.3272615
Laytonville,39.6882116,-123.4827942
Leggett,39.8654841,-123.7148275
Livermore,37.6818745,-121.7680088
Los Angeles and Orange Co. Coastal,33.74548,-118.1021482
Los Angeles Inland,34.0387009,-118.61339
Los Angeles Metro and Inland Orange Co.,34.0522342,-118.2436849
Mendocino County,39.5500194,-123.438353
Metro Riverside CO,33.982515,-117.375878
Metro Riverside CO-2,33.982515,-117.375878
Metro Riverside CO-3,33.982515,-117.375878
Metro Riverside CO-4,33.982515,-117.375878
Mojave Desert,35.4166495,-115.5841649
Morro Bay,35.3659445,-120.8499924
N Coastal Orange,33.602481,-117.8045931
Nipomo,35.0427547,-120.4759986
Norco/Corona,33.9217589,-117.5470554
North Orange CO,41.509998,-74.264725
NW Coastal LA,33.9643229,-118.4277118
NW San Bernardino,34.1083449,-117.289765
Ojai,34.4480495,-119.24288
Oroville,39.5137752,-121.556359
Oxnard,34.1975048,-119.1770516
Palm Springs-Coachella Valley,33.8120684,-116.4971401
Paradise,36.0971945,-115.1466648
Paso Robles,35.6368759,-120.6545022
Perris Vly,33.7608569,-117.2182119
Phelan,34.426288,-117.5725628
Piru,34.4152743,-118.7939824
Pomona Walnut Vly,34.0512213,-117.8530232
Red Hills,38.662155,-115.9253221
Redding,40.5865396,-122.3916754
Redwood City,37.4852152,-122.2363548
Rio Vista,38.1557502,-121.6913439
Riverside Co. Metro,33.982515,-117.375878
S Central LA CO,33.9891116,-118.2914872
S San Gabriel Vly,34.08028,-118.09108
Saddleback Vly,33.5170673,-117.6709046
San Bernardino Co. Metro,4.63297,-74.20149
San Diego Coast,32.8450381,-117.2784869
San Diego Foothills,30.2225209,-97.9110149
San Diego Mesa and Inland Valley,33.3092394,-116.9534441
San Fernando-Santa Clarita Valleys,36.4718646,-6.1965948
San Francisco,37.7749295,-122.4194155
San Gabriel Mts,34.29,-117.65
San Luis Obispo,35.2827524,-120.6596156
San Rafael,-34.6128922,-68.3390622
Santa Clarita Vly,36.272323,-115.0775828
Santa Rosa,38.440429,-122.714054
SF Bay Area Coast and Central Bay,37.7749295,-122.4194155
SF Bay Area Eastern Zone,37.7749295,-122.4194155
SF Bay Area Northern Zone,37.7749295,-122.4194155
SF Bay Area Santa Clara Valley,37.7749295,-122.4194155
SF Bay Area South Central Bay,37.9454453,-122.3577673
Simi Valley,34.2694474,-118.781482
South Coastal LA,34.072919,-118.4503874
Southeast LA CO,4.570868,-74.297333
SW Coastal LA,33.9643229,-118.4277118
SW San Bernardino,34.1083449,-117.2897652
Temecula Vly,33.5753083,-117.2202436
Thousand Oaks,34.1705609,-118.8375937
Trona,35.7627371,-117.37309
Twentynine Palms,34.1355582,-116.0541689
Vacaville,38.3565773,-121.9877444
Ventura,34.274646,-119.2290316
Victorville,34.5362184,-117.2927641
W San Bernardino M,34.1083449,-117.2897652
W San Fernando Vly,34.1825782,-118.4396756
W San Gabriel Vly,34.08028,-118.09108
Western Nevada County,39.0443409,-121.0547164
Woodland,38.6785157,-121.7732971
Yankee Hill,38.0396452,-120.377972
Yuba City/Marysville,39.1457253,-121.5913547
Yucca Vly,34.1141743,-116.432235
